"TIME","Vout","Vent"
0,0.000309303,0
3.333333333e-008,0.000309303,0.000858692
1.201163465e-007,0.000309303,0.00309387
1.789596074e-007,0.000309303,0.00460867
2.466396639e-007,0.000309303,0.00634973
3.420279867e-007,0.000309303,0.00880042
5.328046322e-007,0.000309303,0.0136856
9.143579232e-007,0.000309303,0.0233531
1.516966547e-006,0.000309304,0.0381617
2.141696322e-006,0.000309305,0.0526105
2.975029655e-006,0.000309306,0.069865
3.808362988e-006,0.000309308,0.0841478
4.641696322e-006,0.000309309,0.0948574
5.475029655e-006,0.00030931,0.101549
6.308362988e-006,0.000309312,0.103952
7.141696322e-006,0.000309332,0.101985
7.975029655e-006,0.000309352,0.0957569
8.808362988e-006,0.000309431,0.0855625
9.641696322e-006,0.000309511,0.0718702
1.047502965e-005,0.000309697,0.0553013
1.130836299e-005,0.000310018,0.0366027
1.214169632e-005,0.000310548,0.0166144
1.297502965e-005,0.000311394,-0.00376703
1.380836299e-005,0.000312705,-0.0236282
1.464169632e-005,0.000314679,-0.0420782
1.547502965e-005,0.000317582,-0.058288
1.630836299e-005,0.000321751,-0.0715262
1.714169632e-005,0.000327616,-0.0811917
1.797502965e-005,0.000335712,-0.0868391
1.880836299e-005,0.000346691,-0.0881991
1.964169632e-005,0.000361334,-0.0851893
2.047502965e-005,0.00038057,-0.0779187
2.130836299e-005,0.000405478,-0.0666824
2.214169632e-005,0.000437302,-0.0519486
2.297502965e-005,0.00047745,-0.0343388
2.380836299e-005,0.000527499,-0.0145999
2.464169632e-005,0.000589189,0.00642806
2.547502965e-005,0.000664418,0.0278486
2.630836299e-005,0.000755226,0.0487482
2.714169632e-005,0.000863777,0.068236
2.797502965e-005,0.000992336,0.0854827
2.880836299e-005,0.00114324,0.0997573
2.964169632e-005,0.00131886,0.110458
3.047502965e-005,0.00152156,0.11714
3.130836299e-005,0.00175368,0.119534
3.214169632e-005,0.00201743,0.117558
3.297502965e-005,0.0023149,0.111319
3.380836299e-005,0.00264799,0.101114
3.464169632e-005,0.00301834,0.0874104
3.547502965e-005,0.00342729,0.0708299
3.630836299e-005,0.00387587,0.0521192
3.714169632e-005,0.00436467,0.0321186
3.797502965e-005,0.00489389,0.0117242
3.880836299e-005,0.00546323,-0.00815026
3.964169632e-005,0.00607191,-0.026614
4.047502965e-005,0.00671865,-0.0428379
4.130836299e-005,0.0074016,-0.0560908
4.214169632e-005,0.0081184,-0.0657712
4.297502965e-005,0.00886616,-0.0714341
4.380836299e-005,0.00964146,-0.0728099
4.464169632e-005,0.0104404,-0.0698164
4.547502965e-005,0.0112586,-0.0625625
4.630836299e-005,0.0120913,-0.0513433
4.714169632e-005,0.0129333,-0.0366271
4.797502965e-005,0.0137782,-0.0190352
4.880836299e-005,0.0146232,0.000685363
4.964169632e-005,0.0154594,0.0216945
5.047502965e-005,0.0162819,0.0430959
5.130836299e-005,0.0170845,0.0639758
5.214169632e-005,0.0178613,0.0834435
5.297502965e-005,0.0186063,0.10067
5.380836299e-005,0.0193138,0.114924
5.464169632e-005,0.0199783,0.125603
5.547502965e-005,0.0205947,0.132264
5.630836299e-005,0.0211583,0.134635
5.714169632e-005,0.0216647,0.132636
5.797502965e-005,0.0221102,0.126375
5.880836299e-005,0.0224915,0.116146
5.964169632e-005,0.0228061,0.102419
6.047502965e-005,0.0230519,0.0858142
6.130836299e-005,0.0232276,0.0670789
6.214169632e-005,0.0233326,0.0470532
6.297502965e-005,0.0233669,0.0266335
6.380836299e-005,0.0233313,0.00673318
6.464169632e-005,0.0232273,-0.0117568
6.547502965e-005,0.0230571,-0.0280074
6.630836299e-005,0.0228234,-0.0412872
6.714169632e-005,0.02253,-0.0509952
6.797502965e-005,0.0221809,-0.0566859
6.880836299e-005,0.0217809,-0.05809
6.964169632e-005,0.0213356,-0.0551252
7.047502965e-005,0.0208507,-0.0479003
7.130836299e-005,0.0203328,-0.0367105
7.214169632e-005,0.0197885,-0.0220242
7.297502965e-005,0.0192253,-0.00446261
7.380836299e-005,0.0186488,0.0152273
7.464169632e-005,0.0180722,0.0362054
7.547502965e-005,0.0174981,0.0575752
7.630836299e-005,0.0169363,0.0784233
7.714169632e-005,0.016395,0.0978588
7.797502965e-005,0.0158821,0.115052
7.880836299e-005,0.0154056,0.129273
7.964169632e-005,0.0149731,0.139919
8.047502965e-005,0.0145919,0.146546
8.130836299e-005,0.0142691,0.148883
8.214169632e-005,0.014011,0.146849
8.297502965e-005,0.0138236,0.140553
8.380836299e-005,0.0137122,0.130289
8.464169632e-005,0.0136814,0.116526
8.547502965e-005,0.0137349,0.0998852
8.630836299e-005,0.0138759,0.0811134
8.714169632e-005,0.0141065,0.0610508
8.797502965e-005,0.014428,0.0405937
8.880836299e-005,0.0148406,0.0206557
8.964169632e-005,0.0153439,0.00212758
9.047502965e-005,0.0159362,-0.0141614
9.130836299e-005,0.0166153,-0.0274802
9.214169632e-005,0.0173776,-0.0372273
9.297502965e-005,0.018219,-0.0429577
9.380836299e-005,0.0191346,-0.0444017
9.464169632e-005,0.0201184,-0.0414773
9.547502965e-005,0.0211642,-0.0342932
