"TIME","Vent","Vout"
0,0,0.00037625
4.04040404e-008,0.000863135,0.00037625
1.616161616e-007,0.00345195,0.00037625
3.232323232e-007,0.00690014,0.00037625
6.464646465e-007,0.0137702,0.00037625
1.292929293e-006,0.0273007,0.00037625
2.003524089e-006,0.0416163,0.00037625
2.684256186e-006,0.054514,0.000376251
3.48680432e-006,0.0683522,0.000376256
4.348146628e-006,0.0811617,0.000376261
5.282319734e-006,0.0922232,0.000376267
6.292420744e-006,0.100433,0.000376313
7.302521754e-006,0.104426,0.000376446
8.312622764e-006,0.104056,0.000376779
9.322723774e-006,0.0993654,0.000377526
1.033282478e-005,0.0905879,0.000379065
1.134292579e-005,0.0781346,0.000382012
1.23530268e-005,0.0625774,0.000387328
1.336312781e-005,0.0446238,0.000396429
1.437322882e-005,0.0250861,0.000411318
1.538332983e-005,0.00484587,0.000434724
1.639343084e-005,-0.0151848,0.000470234
1.740353185e-005,-0.0341028,0.000522413
1.841363287e-005,-0.0510539,0.000596905
1.942373388e-005,-0.0652696,0.000700489
2.043383489e-005,-0.0761012,0.00084109
2.14439359e-005,-0.0830477,0.00102773
2.245403691e-005,-0.085778,0.00127042
2.346413792e-005,-0.0841455,0.00157994
2.447423893e-005,-0.078194,0.00196762
2.548433994e-005,-0.0681562,0.00244496
2.649444095e-005,-0.0544435,0.00302321
2.750454196e-005,-0.0376278,0.00371295
2.851464297e-005,-0.0184168,0.00452357
2.952474398e-005,0.00237729,0.00546269
3.053484499e-005,0.0238728,0.00653567
3.1544946e-005,0.0451576,0.00774509
3.255504701e-005,0.0653286,0.00909027
3.356514802e-005,0.0835314,0.0105669
3.457524903e-005,0.0989974,0.0121666
3.558535004e-005,0.111078,0.0138771
3.659545105e-005,0.119272,0.0156816
3.760555206e-005,0.123249,0.0175594
3.861565307e-005,0.122861,0.0194859
3.962575408e-005,0.118152,0.021433
4.063585509e-005,0.109356,0.0233698
4.16459561e-005,0.096883,0.0252631
4.265605711e-005,0.0813054,0.0270783
4.366615812e-005,0.0633307,0.0287804
4.467625913e-005,0.0437712,0.0303348
4.568636014e-005,0.0235083,0.0317087
4.669646115e-005,0.00345422,0.0328716
4.770656216e-005,-0.015488,0.0337967
4.871666317e-005,-0.0324639,0.0344618
4.972676418e-005,-0.0467053,0.0348499
5.073686519e-005,-0.0575632,0.0349501
5.17469662e-005,-0.0645368,0.0347579
5.275706721e-005,-0.067295,0.0342759
5.376716822e-005,-0.0656911,0.0335135
5.477726923e-005,-0.059769,0.0324871
5.578737024e-005,-0.0497613,0.0312195
5.679747125e-005,-0.0360794,0.0297397
5.780757226e-005,-0.0192953,0.028082
5.881767327e-005,-0.000116629,0.0262851
5.982777428e-005,0.0206444,0.0243911
6.083787529e-005,0.0421061,0.0224443
6.18479763e-005,0.0633564,0.0204902
6.285807731e-005,0.0834921,0.018574
6.386817832e-005,0.101659,0.0167393
